commentaire,classe
"I have rather enjoyed Neil Jordan's films in the past. Things like ""Interview With The Vampire"" and ""In the Company of Wolves"" had a lovely surreal quality that appealed to me.The movie follows the life story of Partick ""Kitty"" Bergen, a young Irishman abandoned by his mother in the 1960s. Growing up, he develops a penchant for dressing up as a woman, and is shockingly open about sex and sexuality, a quality that rankles with his adopted family and the other inhabitants of Irish village he grows up in. He decides to flee the village to and look for his mother...Despite a strong central performance from Cillian Murphy as Kitty, not to mention quality turns from all the supporting cast, for me the movie didn't quite work. I found the long biographical structure of the story unnecessary, and I didn't think we needed to go into that much depth about Kitty's background. It would have been more fun if the film focused on his life as an adult. It would have provided the story with more of a centre and made the long running time much shorter.Furthermore, actors such as Bryan Ferry, Liam Neeson and especially Jordan regular Stephen Rea were woefully underutilised and I would have liked to have seen some more of their characters.A small disappointment from a film-maker I really admire.",negatif
"First let me start off by saying, I had every hope for this film being amazing, seeing as I am hopelessly in love with Cillian Murphy and have NEVER been disappointed in any of his movies. But, come on! The entire plot moved in an aimless, lethargic, trudge that was only enough to keep you from turning it off but not even close to enough to get you to keep from zoning out.I didn't feel depth in a single character, and found them easily forgettable: not the least endearing. It struggled to try and make its theme be ""prufundity in differences"" but ended up with meaningless garbage that wasn't even entertaining. Depite the fact that I gave Cillian every benefit of the doubt, I couldn't for one second believe that the boy was a convincing female. While I'll admit he looked OK, the voice and mannerisms had a decidedly male attitude. Anyway, I just thought it would be nice to have a comment from someone that found everything about this movie boring and trying so hard to be deep that it ends up floundering helplessly in the shallow end of the preverbial pool.",negatif
"I was taken to a midnight showing of the first Lord of the Rings movie. Like having sex for 3 hours with no orgasm I was completely disappointed. The movie was eye candy to behold.  The scenery and the amazing special affects were stunning.  I have not read the books, and frankly, I don't want to now.  I was so bored.  I almost began to cry.  I felt trapped in a movie which went from one foe to the next...to the next....to the next....to the next.....to the next....to the next.....to the next....and on and on and on, so long that when the main character noted ""I wish the ring had never found me,"" I agreed.  As the movie progressed different foes and challenges popped up as though they just magically appeared--Oh look we are stuck in these frigid mountains, no where to go.......it is OH so cold....what do we do? Oh, I know, lets take these mines here that just conveniently randomly appeared!  If you've read the books, you might enjoy the closeness, as I hear it has.  However, if you haven't...don't bother.  It is TOOOOOOOOOOOOOOOOOOOOOOOOO long...TOOOOOOOOOOOOOOOOOOOOOOOOOOOOO boring....and TOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO plotless....and all this, for 3 hours and 10 minutes...and then, then THEN!!!  NOTHING!!!!! Wait until you can set aside 9 hours and watch them all at once, then at least it might be slightly rewarding.",negatif
"Trying to be as objective as possible from the stand-point of one of the ""purist"", my humble question is: Did Mr. Jackson ever read the books? Or more importantly, did Ms. Walsh ever read the books? After all, is it not the responsibility of the true screen writer to condense and translate (while remaining true to the original works) the written word to a format suitable for filming? While no one can deny that the cinematography, graphics, special effects and even the casting (in most cases) deserves the highest praise. It is the loss of the true spirit of the literary work, that irks me most.While I can forgive the omission of many key characters (the films would have been ten times longer), I can not forgive the changes made to what motivated the remaining characters; the blatant changes in events and the placement of characters; the addition of scenes and events that never happened in the book; and of who did what, when and especially why! For the ""purists"" I would not recommend these films, your will be utterly disappointed and dismayed. For those who don't care, or have never read the books -go -you'll have fun -enjoy!",negatif
"Some of us may know the back story of how Tolkien himself never wanted his books to be made into a film and I have to say that I agree with him, much of the magic of his books were in the finer details and these could never be conveyed well in a film. Here we have a film that's well done in some ways yet in the grand scheme of things it was never needed, the books stand alone and this trilogy of movies are a perhaps selfish project? -that are essentially a compromised vision of the books, this big budget 'action' movie would serve those looking for a feast of CGI effects and action sequences, thankfully there is some subtlety and the interplay between characters is the films saving grace and I appreciate the tasteful selection of dialog used for the most part. One of my big beefs with The Two Towers and the other 2 movies is just how nonthreatening Sauron is in these films, I think this aspect weakens the movies a great deal, even the ring wraiths come across as impotent compared to creatures such as the Urak Hai. Another is the abrupt transitions between scenes, and the movies lose much of the 'glue' that the books had tying everything together. Finally 'some' of the CGI effects don't do justice to the imagination - Sauron's eye, and the faces in the dead marsh seem to suffer like Gladrieal did in the previous movie - a little bit too overly dramatic and washed out - I am only mentioning this as a comparison to the majority of effects in this movies which are actually very well done. Also the costumes are excellent, I especially thought the depictions of the orcs were excellent. Overall I can only give this 5 stars.",negatif
"The second part of the movie adaptation of 'The Lord of the Rings' books, this is a good-looking creation albeit not much else. It is a CGI showcase, and features good film editing and make-up, however ultimately it is pretty much on par with the first film in terms of virtues and vices. Again, it is visually stunning, but it still is too long, too violent and it is too convoluted in plot. The screenplay is no improvement over the first film in terms of character and plot development, and therefore it is equally as not involving as the previous part of the trilogy. The film features one of the largest battle scenes of all time, but it is also one of the least interesting, as it is just mindless action. It also is a slow and sluggish watch, and in many ways the weakest entry in the trilogy, however if you can separate the films than this would actually rate as the strongest entry, because the special effects in the film are the best and most creative, and in such a visual but not all so compelling film series, this is one of the most important aspects. The visual and audio effects both won Oscars, and out of the three films it is the only one that deserved Best Visual Effects.",negatif
"Movie is okay. Christian Bale is awesome, Chris still can't act, but we never liked him for his talent, rest of the cast brings what they have to the whole movie is an average Disney factory work, everyone knows their job and they execute is as they should. The story has too many silly jokes. I know Waititi's style, but now he feels like his own parody. Like those Scream parody Scary Movies.",negatif
"Fine seems to cover it, Disney has become fine, everything is fine. It has got to the point where if spending your time aimlessly going through your phone for 2+ hours or watching a marvel movie is a bigger waste of time.",negatif
"Christian Bale is great, Russell Crowe has a good moment, Hemsworth is good but this movie cannot be saved from a terrible script, bad direction and stupid humour that overstays its welcome.",negatif
"I think most people thought it was a big mistake when Disney cut ties with Lord & Miller before they completed their Solo film. Now I'm not so sure. It's a little off-putting having a downright farcical movie in an established cinematic universe. Thor: Love and Thunder is about as grounded as a Naked Gun movie, but for some reason the comedy rarely hits for me, where I can enjoy it in an actual spoof. I was surprised, despite the nearly constant attempts at humor, the crowded theater I was in rarely did more than chuckle. If they're going to make a straight-up comedy then they need it to be more laugh-out-loud funny. Of course comedic taste is extremely subjective, so I'm sure some people enjoy laughing along. I just wish it was as effective as Taika Waititi's other films have been for me (including Thor Ragnarok.)The real problem with Thor: Love and Thunder is that it is so irreverent but they also try to tackle heavier topics. The film starts with the death of a child, it focuses on a major character dealing with cancer, and the villain is literally called ""the god butcher."" Going back to my comparison to The Naked Gun, it's like you are watching that film and the filmmakers expect you to feel bad about Nordberg almost getting killed. There is no weight to anything, and it undercuts any attempt at emotion. I'd be genuinely shocked if someone told me they shed a tear while watching this movie, even if the humor lets up at the big climactic moment, though it clearly is trying for some real heart-tugging. I can take a light-hearted movie in the MCU where nothing of vital importance happens, but there are some important plot points, and that's a problem.That's not the only problem with Thor: Love and Thunder, and I could probably go on a full tirade about many of the other issues. However, I will restrain myself and just hit each one like quick bullet points. The handing off of Mjolnir like a loyal pet kind of undermines the magic of the whole ""worthy"" thing established prior to this film. The quick shuffling off of the Guardians of the Galaxy is about as shoddy as Chris Pratt's hair in the film. The whole god convention sequence is atrocious and makes you feel like Gorr has the right idea. Thor has become as shallow and dumb as the version they featured on the What If show. The handing off of Thor's lightning powers to anyone at any time with any weapon makes him look rather selfish in prior films when they could have used a bit of extra help against someone like Thanos. The deus ex machina of the Eternity wish now makes previous plans of people like Thanos and even the Scarlet Witch feel over-complicated when all they needed was a quick trip with Stormbreaker. I'll stop there, but the really sad thing about all this is that it has taken less than 3 years for the MCU to go from a franchise where I couldn't bear to miss a single film, to a franchise where I might just skip out on some movies because the quality has dipped so dramatically.",negatif
